label,tweet
happy,"Jadi sejauh ini, udah ada 6 barang yang ku beli hasil flash salenya bukalapak. OMG dari harga yang Ratusan Ribu yang bahkan aku sbg sahabat misqin tak mampu beli, sekarang kebeli semua wkwkwkwk. Dan masih ada flash sale jam 6 sore, jam 8 malam dan jam 12 malam"
love,"Semoga sehat selalu, dan yg terpenting selalu sayang dan cinta ama [USERNAME], walaupun gw itu followers baru tp kita bisa saling kenal krn kita keluarga we are family I love you"
anger,si gendut kalau saya yang suruh ogah jalan! dasar kebo!
fear,"gue yg dulu bingung knp org bisa trauma berkepanjangan skrg baru sadar setelah ngerasain sendiri, kita ga speak up kdg krn takut dibilang lebay lah boong lah bla bla. ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending diem."
anger,[USERNAME] [USERNAME] gk perlu mnta maap juga kalik.. beda perspektif mah wajar.. yg lebay mah ngapus twit neg bkn bela simic jg tp slama vv gk lapor pulisi bhwa dia udh jadi korban pelecehan mah itu msh tetep urusan private mreka bdua di DM gmn awa
sadness,"[USERNAME] iPhone 7 plus, tiba tiba restart sendiri, trus kadang kadang bootloop ga masuk ke system , dimatikan agak lama, baru kadang bisa masuk system. kenapa bruh"
sadness,"Wah gila sih, ini lokasinya mirip2 selly oal & dixy, persis pula di pengkolan jalan. Sayang dulu ga ada mas2 british kaya gini. Klo ada, mgkn w seringnya nongkrong di dixy bukan di perpus"
anger,"Ngurusin neraka orang, sampai bikin hastag #CalonPenghuniNeraka, sedangkan sholatlu masih bolong bolong, Al Qur'an mu masih tersimpan rapi di almari, dan uangmu masih belum berkurang untuk sedekah, pikir dong!!!"
happy,"Sama kayak bahagia. Mau gimanapun persepsi orang tentang bahagia, kalau bahagiamu memang beda dari persepsi orang2, itu tetap bahagia kamu. Orang lain gak ngerasain, tapi kamu yg ngerasain ttg bahagia kamu."
anger,"DPRRI pemegang amanah rakyat tetapi selalu membalikan telapak tangan, Dewan yg membuat aturan dan Dewan pula yg melanggar aturan, segelintir Dewan mencoreng amanah rakyat dgn melakukan korupsi, jls bersalah dan selalu berkelit menutupi kesalahan dgn bersandiwara"
anger,Belajar jadi oposisi dimana partai ini... kok nyinyir dan provokatif sekali. Ini tanda juga tidak mampu jadi oposisi yg baik. [URL]
sadness,"berita Via Vallen dapet DM dari pemain sepak bola yang terkesan ""menggoda"" atau sexual harassment, liat komennya pada bilang lebay dan gak harus di publish karena hal kek gitu ""biasa aja"" dan parahnya yang nyinyir perempuan juga :') miris"
sadness,"Abis jengukin temen yg sakit parah. Terus terenyuh sama kata2nya, ""saya ga takut sama penyakit saya, saya cuma takut ramadhan saya ga dapet berkah"" Ya Allah  Mohon doa, buat kesembuhan temen kantor saya, Tb adriana Pramudya bin tb dasep. [URL]"
sadness,"[USERNAME] Masalahnya banyak bgt sih yg gamau belajar dari sejarah. Padahal sejarah dunia ya gitu2 aja, muter2 disitu. Tapi gue lebih miris sama org yg masih menganggap Saudi dan US adalah dua kubu yg bersebrangan"
fear,Liat temen-temen udah pada kewong aja . Ngeri juga kalau w mikirin sampe kapan ya w kewong dengernya itu loh . Masalahnya w belum kepikiran masih takut
sadness,Ya nasib 3 thn eh 4 thn sudah nggak lebaran di rumah plus lebaran ini sepertinya begitu....padahal bayangannya tahun ini lebaran dirumah nyatanya lebaran dikantor (lagi #nasib #alhamdulillah
happy,SUNDA KELAPA Alhamdulillah abis tarawih di Masjid Agung Sunda Kelapa. Nikmat sekali. 23 rekaat tapi nikmat karena bacaan imamnya mantap. Ini masjid persembahan Gubernur Ali Sadinin utk masyarakat Jakarta. Yuk coba tarawih di sini Pak Gub [USERNAME] dan Pak Wagub [USERNAME] [URL]
anger,"Efek pintu tol slipi arah semanggi ditutup, macet parah di sini. Pak polisi bukan ngatur malah jagain jalur busway [USERNAME] [USERNAME] [USERNAME] [URL]"
anger,"[USERNAME] [USERNAME] Setuju bang yg beginian bikin hidupnya gk tenang aj ya,gk mikirin yg lain ky gmn nyari orderan pengen enak sendiri aj jadinya ,gw aj gedeg bener yg bikin opik begituan"
happy,Para raja dan sultan yang tergabung dalam Forum Silaturrahmi Kraton Nusantara merasa bangga dan terharu mendapat undangan dari Presiden [USERNAME] ke Istana. Menurut mereka Presiden benar2 memperhatikan budaya Nusantara [URL]
sadness,cewek-cewek lain kalo bikin instastory suaranya pada cakep bgttt alus gitu ye kan. kalah manisnya gula mah. lah w dengerin suara sendiri aja kek tikus kejepit:( annoying bgt suara qu wkwkwk
fear,"[USERNAME] Yess aku terlalu pemilih dan kriteriaku suka ketinggian gitu, terlebih lagi aku bosenan, takut aja gitu pas udah nikah tau tau bosen :("
happy,"Buat saya, apa yang dilakukan Via Valen simbol perlawanan yang perlu didukung, apapun profesinya wanita tetap harus dihormati dan dihargai [URL]"
anger,"SEBAB MUNDUR ADALAH SEBUAH PENGHIANATAN, DIBELAKANG PAGAR TRIBUN KAMI TERUS BERSUARA UNTUK BANGKITKAN SEMANGAT PEMAIN DILAPANGAN! INI SUARA KAMI."
sadness,"Sebagai manusia yang punya phobia tempat sempit dan sesak, liat penyelamatan anak anak yang terjebak di dalam gua di Thailand, cm bs berdoa, merinding, pengen nangis :"") bergidik liat medannya. #ThaiCaveRescue"
sadness,[USERNAME] @ bapak presiden yang terhormat.mohon bantuan jalan kami di kota pasuruandan kabupaten pasuruan rusak parah. Mohon bantuan bapak presiden untuk meninjau jalan kota pasuruan dan kabupaten pasuruan jawa timur. Rakyat tersiksa dengan jalan yang rusak
love,"[Satu menit kemudian] Ternyata bukan dari satu menit yg lalu, tapi sejak dua hari yang lalu gw udah jatuh cinta sama lu... Salah sapa coba?"
fear,"Kemarin habis sulam alis 6D, dan hari ini terlihat masih ketebalan kaya sincan karna hasil lukanya mengering. Biasanya peel off setelah 7 hari ntar hasilnya kaya bulu alis alami. Semoga ye, gak sia-sia wa nahan sakit sama jauh-jauh ke kelapa gading... [URL]"
sadness,Kppn punya akun fb? Ig? Twitter? Apa yg boleh dipost kppn dan apa yg enggak? Apa yg bisa diketahui umum apa yg enggak? Apa kami sempet update medsos kantor sdgkan medsos kami jg susah cari konten. (dyaar)
sadness,"Selamat jalan adik kami, Semua yang hidup pasti akan meninggal, dan kembali kepada Allah inna lillahi wa inna ilahirojiun"
anger,"anjiir via vallen digituin sm nih org dan dia casually cm blg ""are u angry"" hmm emang hal kaya gitu sebiasa itu sih buat orang luar terutama asal negara2 eropa"
sadness,"[USERNAME] intinya mah lakukan perubahan di dunia nyata aja apapun hasilnya, daripada cuma sampaikan opini di socmed yang seringnya malah nimbulin pro kontra tanpa merubah keadaan yg ada"
anger,"Jahat banget mbaknya,semoga mbaknya nggak jadi korban sexual harrasment juga yaa mbak biar ngga ngerasain gmana rasanya di lecehkan. Wah kesel bacanya pengen bilang tolol ke si mbaknya :( [URL]"
anger,#ILCBPIP satu lagi travel meler katanya anti asing tp sok2 bicara pake gaya asing....mulut bau....lalu Ko bikin apa Pak Kiyai???? [URL]
anger,"Menurut penelitian ku 'orang yg paling susah di nasehatin adalah org yg JATUH CINTA uda dibilangin masih ajaaaa ngomong dia ga gitu, ga gini' harus ekstra sabar."
fear,"terus tadi ada orang dari dinas ngambil sampel air katanya keluar hasilnya minggu depan,,, aku jadi agak takut kalo mengetahui fakta ada binatang apa yg hidup di air tersebut,,,"
anger,"Bisa gak sih situ sekali aja mikir sendiri kalo mau ngerjain tugas, gausah sok""nanya (liat dong punyamu buat acuan aja, aku mau ngerjain nih nanti tapi bingung), tolong ya karena situ udah keseringan kayak gitu, jadi ku pasti tau dari awal itu cuman alibi "
happy,Setelah #RecehkanTwitter muncul #OldMoneyGakNgerasain nah sekarang lagi rame #AksiBelaVia ku merasa sangat uptudate dan bersyukur. Anti uninstall twitter twitter club.
love,"Ketika ditanya alasan mengapa aku mencintai dia, aku tak pernah bisa menjawab. Aku digerakkan oleh cinta tuk mencintai dia, bukan aku yang menggerakkan cinta. Cintalah yang menyatukan aku dan dia, bukan aku yang menyatukan cinta dengan dirinya."
sadness,"Sebenernya sy miris jg, siapa org yg mengakulturasikan gaya dan faham casual di kalangan supporter Bandung, seiiringnya waktu berjalan, lalu timbul lah beberapa organisasi yg mengatasnamakan Casual."
love,"cinta mulai menutup logikaku dan meniupkan sukmanya ke dalam hatiku. Sehingga apapun yang kamu lakukan adalah sempurna bagiku, sampai aku tidak menemukan keganjilan dalam dirimu."
fear,"demi apapun baru aja ngalamin kejadian ini, pas gue balik ujian. siang2, lagi macet, tiba2 ada org gila ini teriak2 disamping gue jelas bgt omongannya kaya cerita dibawah ini. spot jantung gue, takut bgt sumpah"
anger,[USERNAME] hallo min kuota saya masih 9GB tp kok gak bisa dipakai? Katanya kuota saya udah habis. Ini gmn ya? Mohon bantuannya [URL]
love,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] nek sinh mas drumer kui yo jelas cinta terindah no, kenangan tak terlupakan.. di mention wae cur.."
sadness,"[Obrolan dengan dospem 1 & 2 di grup WA menjelang besok sidang] Dos 1: Fir, latar belakangmu masih kurang kuat~_~ Dos 2: Menurut saya, latar belakang sudah cukup, hanya kurang kuat di 'Tujuan penulisan' Saya: Baik sensei saya revisi *habis itu revisi bab 1*"
sadness,"[USERNAME] [USERNAME] Sabar terus hehehee, engga mereka gatau kalau mereka tau aku udah diceramahin panjang lebar nanti disangka aku gak sayang Allah lah, dll:("
happy,"Tuhkan, apple tuh kalo kasih update ga tanggung - tanggung, hp yang paling jadul pun masih diberi update, ngga kaya android yang setelah setahun dua tahun udah ditinggalin :') [URL]"
love,rambutnya yang telah dan semakin memutih. Dan badannya serta lengannya tak lagi kuat untuk menjagamu dari bahaya. Papa telah menyelesaikan tugasnya.
anger,"Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini,. Dia itu korban sexual harassment loh. Sesusah itukah untuk saling support satu sama lain gurlzz?"
love,"Sayang banget sama orang2 ini. Semoga selalu sehat dan bahagia, diberikan limpahan rezeki dan jodoh yg baik. See u in another trip my loves! [URL]"
happy,"Baru sehari, masih ada beberapa hari ke depan yg lebih padat tapi sangat menyenangkan. Wish me luck and healthy aja deh buat seminggu ke depan *fingers crossed*"
sadness,"RT [USERNAME] Dia suka mengopi, tapi tidak bersamamu. Dia suka jalan-jalan, tapi bukan jalan denganmu. Dia suka apa saja yang juga kau suka, tapi dia tidak menyukaimu.."
sadness,"[USERNAME] peng aku stalk akun twitternya juned dan memori SMA benar2 kyk otomatically re-play in my brain.... kangen kalian kangen [USERNAME] dan isinya, kangen ketawa ketiwi di kantin trs nongkrong di hums delima atau ke hums msg2 anggota buat mak"
anger,sini berobat sama saya ini ngantri dokter saja sudah kek mau ngantri sembako panjang bener~
anger,"Jadi wanita jangan suka menghancurkan hubungan orang. Jgn bangga berhasil merusak kebahagian orang. Silahkan saja, tapi ga berkah bahagianya nanti hehe."
love,HUAAAAA JUJUUUUDD SAYANG BANGET AIH!!! AKU HARAP JUGA JUJUD JUGA JANGAN PERNAH NINGGALIN KITA!
fear,"'Liv, jgn lupa ingetin gue ya kalo gue ngeluh mulu.' 'Liv, jgn lupa ingetin gue ya kalo positive vibe gue di dunia nyata dah mulai jarang' Apalagi ya"
love,AWW THANK YOU AININ SAYANG . AAMIIN MOGA MOGA DIPERMUDAHKAN I love you even more  hahahahhaa okey I'll change right now !!! Hehehehe thank yiu againss
sadness,"bukan maksud membela diri,semua punya kesalahan. mungkin soal kerjaan,pertemanan dll. tp disaat pembelaan yg saya lakuin itu nyata adanya kenapa...... sudahlah!"
love,Bagaiman kabar jantung mbak-mbak yg megangin micnya? Udah bertahun tahun dr jaman gua sma tapi masih aja ngena heran gua semudah ini gua makin jatuh cinta sama canyol.
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang"
happy,saking asiknya test organo gak sadar pabrik udah sepi dan kekunci di dalem untung aja masih ada sinyal buat ngabarin orang kantor~ udah gitu aja.
love,"aku sayang semua mutualku, maap kalo belum bisa jadi mutual yang baik buat kalian, luv #TeenChoice #ChoiceFandom #BTSARMY"
happy,"Beberapa orang tetap bisa menikmati hidup walaupun belum di pertemukan dengan pasangan karna ia memiliki sahabat dan banyak teman .. Dari orang2 terdekatnya, ia tak pernah merasa kekurangan kasih sayang"
anger,ih wowo saya pemaf kok tapi maaf saya pendendam tidak-ush minta akun kalau bwat di delcon picik otak lo!
happy,sore kak rica ^_^ sudah makan kan :d semangat terus ya kak :)
happy,"Diucapin Happy Birthday sama bapak, heran2 gua kan udah lewat 3 bulan lalu. Ternyata berdasarkan kalender Hijriyah, tepat hari ini, 20 Ramadhan 1414 H gua lahir. Ok, i accept that"
sadness,kamu apa kabar sayang
happy,"Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas ummat lain. Kl ada yg masih bilang Beliau an"
sadness,"Akhir2 ini merasa sendiri terus. Iya sih, gaada yg bisa diharapin. Masing2 punya kehidupan dan kesibukannya masing2. Sekedar utk cerita aja susah. Sahabat memang susah nyarinya. Jadi bersyukurlah yang punya sahabat dikalan happy dan susah namun mereka selalu ada disisi kita"
sadness,"Kadang secapek itu juga buat nahan hati buat gak blaming diri sendiri dan ngatain diri ini super bodoh dan mental tempe,tahu,risol berasa gorengan yg ampas-ampas gitu. Tapi gak boleh karena gimanapun juga diri ini udah bekerja keras berusaha"
sadness,"Aku tidak membenco hujan sore itu, Aku hanya kecewa dia pergi saat mentari mulai bersinar. Lenyap. Seperti kisahku dan kamu~ #masihtentangJuni #ceritaKaa"
happy,"kami pemuda/i Indonesia BANGGA, Bahwa Indonesia mempunyai pemimpin2 hebat TAK SEKEDAR KATA TAPI TERLALU BANYAK TINDAKAN. Doa kami rakyat Indonesia semoga selalu jujur n bijaksana [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME]"
sadness,"Dulu, dia nampak seperti seorang lelaki yang lurus, innocent, baik, tapi aku dah tertipu habis sebab dah buta dengan perasaan cinta dan sayang dekat dia :("
fear,"Hmm Thailand boleh juga tuh. Kebetulan saya suka wisata kuliner sih, tapi ngeri disana banyak yg gak halal, nanti malah gak makan apa2."
happy,[USERNAME] [USERNAME] gitu amat mukanya ahahaha kmrn kalo taehyung kan cuma 'oh kite menang lagi' ini jimin anjir hahahaha tengil bgt mukanya
love,"kalau begitu aku ingin mengatakan kepada Desi: aku sayang kamu, Desi. aku suka kamu, Desi. ini adalah ungkapan perasaanku kepada Desi terlepas apakah dia memendam rasa yang sama atau tidak. [URL]"
happy,Aku bersyukur segala hal untuk pertama kali kulalui dgnnya. Akupun bersyukur atas semua hal yg membuat senyum diwajahnya aku ada bersamanya. Tak peduli saat marah dtng kami tak lama jika berjauhan. Mungkin krn aku yg terlalu sering mengerjar dan ibumu terlampau kasihan pdku.
sadness,"Yang berat itu bukan rindu, dilan. Tapi ngerjain skripsi dengan berbagai pengalaman psikologi yang kurang baik. Katanya ada yang bilang tema dan judul yang saya ambil, sangat cocok dengan pengalaman pribadi saya. Bisa dikatakan iya juga bisa tidak sih."
sadness,"ini kakinya diapain sih harusnya ya ampun sakit banget nyeri. orang rumah udah pada jengah kali ya, aku aduh-aduh mulu gara2 serangan mendadak di kaki"
anger,"Niat hati mau regis sim card, udah selesai masukin nomor NIK ,eh malah ada nomor KK. Mana gw tau lah gblk... emang KK gw yang megang, emang gw yang nyimpen. Kenapa juga harus kk?"
love,Nangroe Aceh Darussalam memang Istimewa Al Fatihah buat Teuku Markam dan salam hormat buat keluarga Teuku Markam dari kami rakyat Indonesia [URL]
love,"Cuma liat notifikasi WA dibalas, senengnya setengah mati,gembiranya berhari-hari. IG story diliat dan IG post di cinta, girangnya kebawa mimpi. Jatuh cinta itu seringkali bikin seseorang jadi kekanak-kanakan lagi ya ... [URL]"
sadness,"Jika datangmu sudah tidak menggenapi, pergimu pun tidak mengganjilkan, untuk apa kamu dilahirkan? Sebaik-baik manusia adalah yang berguna bagi sesamanya."
anger,bicara asal ngejiplak saja sok tahu sangat sih  (at sos wisma slipi lt 7)
love,"di setiap pandangan mata,genggaman tangan,pelukan hangat,ada definisi cinta bagi tiap pasangan,ada pemahaman yang berbeda,ada pengertian yang berbeda,mungkin kamu akan lebih banyak terluka,tapi itu tidak akan membuatmu berhenti mencari cinta. A Perfect Love"
fear,"Bagaimana ya. Jalur yang dilewati juga jalur lewat truck juga. Aku mikir gini ""sayang gak sih sama nyawa?"" Dan beberapa umpatan lainnya. Dan jalan itu kurang penerangan dan banyak sekali yang ngelawan arus jalan."
happy,"Pengen rasanya pacu fisik lagi, biar tetep terjaga tapi puasa gini bikin labil, persiapan puncak mandala dan diksar wanadri semakin menjauh tampaknya, ayodong semangat!"
anger,"Masih di spam nihh sama Indosat [USERNAME] , padahal ku sudah melakukan segala nasehat yg dianjurkan mimin2 yg membalas twit sambatku ini Terhitung sudah 20 sms sejak jam 11 tadi. Pacarku aja ga posesif gini lhoo"
anger,[USERNAME] baru penumpang yamg mau naik ... kadang saya suka gemessssss mau turun mereka ini sudah berjubel dipintu .. iya sih mereka mencari nafkah .. tp jangan seperti ini biarkan kami para penumpang turun dulu . Trimakasih
happy,"paling seneng kalo berobat di bandung. sama konsulen bisa sharing, becanda. lah kalo di bali ngeliat konsulen cuma bisa nunduk sambil senyum kecut"
love,Tp iya sih dosa lo banyak sm gue. Tp aku tetep cinta kok muahh
fear,"Aku gak salah bila mohon pd [USERNAME], segera Perintahkan MENKES utk menambah Ruangan Khusus ""Sakit Jiwa"" pd stiap Rmh Sakit. Sbab, tdk menutup kemungkinan, USAI PILPRES, stiap Rmh Sakit akan dibanjiri Pasien ""Sakit Jiwa"". Tanda2 kearah sana itu sdh ada. Saat ini banyak yg STRESS"
anger,[USERNAME] setidaknya beri saya kejelasan uang saya..dan langkah2nya ketika nasabah memiliki problem seperti ini..sudah satu bulan lebih loh..tolong yang Bank Mandiri terutama untuk Kantor Cabang Sabang Jakarta Pusat
sadness,"Dulu ada orang yang membawa segudang kata ajaib dan itu bisa menenangkan saya, bahkan merubah mindset saya waktu itu. mungkin saya sekarang membutuhkan orang seperti itu. orang yang membawa berpikul-pikuk cerita dan tak sabar ingin diceritakan."
sadness,"Tak yakin ku kan mampu hapus rasa sakitku. Ku selalu perjuangkan cinta kita , namun apa salahku? Hingga ku tak layak dapatkan Kesungguhanmu. . ."
happy,"Wah gila sih, ini lokasinya mirip2 selly oal &amp"
love,"Oppa nihhh aku ada flower bucket buat qm ,maafin aku udh bikin km ngambek krn gk ngabarin tadi, akuu sayang kamuuu"
sadness,"Sebagai anggota komite medik di RS tempat sy bekerja, kami kdg membicarakan death case di rapat komite medik. Membicarakan pasien yg meninggal dlm perawatan di RS bagaimanapun tidak pernah menyenangkan wlopun bukan pasien sendiri pun"
anger,[USERNAME] [USERNAME] Halaaahh di kritik dikit langsung ciduk... apalagi ketemu... noh kacung2mu braninya emang di medsos doank giliran diskusi terbuka plangaplongo.. ngalor ngidul kabuuuurrr
sadness,"dan konten ask fm cuma seru2an aja sama temen2 ngga ada yg berbau seks sama sekali, jawabin pertanyaan juga yg normal2 aja tapi kok banyak yg mention kayak gitu ya, sedih akutu"
anger,Klo boleh jujur gua kadang ngerasa sebel sm itu org. Tau ko klo emg cinta bgt sm w1 tp gausah segitunya. Sungguh. Bnrbnr gamau kalah bgt sumpah.
fear,"Lu harus tau rasanya sedeket itu sm orang gila takut bgt gua tuh... Trs temen gua ternyata denger dia bilang ""wah gede jg ya pahanya"" Yalord. Aing teh cm mau piknik naha ada geginian!!! Terus akhirnya w nelpon temen pake ngomong seakan akan dia bapak gua dan nyuruh jemput:("
love,"Untuk setiap yang aku sayang, mungkin aku tak selalu ada di sisi kamu selamanya. Namun aku akan sentiasa doa, Moga tetap teguh dalam jagaan"
sadness,Semua tak sama Tak pernah sama Waktu yang terus berputar tidak akan pernah Sama dengan yang tlah terjadi. Menikmati setiap detik keadaan itu akan lebih menghargai waktu yang Tuhan berikan untuk kita..
anger,"Kita mah ngerasa ga enak kalo membiarkan orang, soalnya udah sering ngerasain ga enaknya di biarkan sama orang. Tapi kok gitu sih mereka..."
love,Dia itu beda dia yg ngenalin semua hal yg ga pernah gue tau sebelumnya dia yg gapernah nunjukin apa apa disosmed dia yg ngajarin gue buat cinta sama alam makanya gue gabisa move on ampe sekarang He's the one !!
fear,"saking terlalu banyak mikir, terlalu jauh pikiran gue, trs jd takut sakit hati, in the end gue yg nyakitin diri gue sendiri."
anger,"Hati-hati jika belanja di [USERNAME] barang tidak dikirim,uang tidak kembali"
happy,Love this pic terima kasih atas waktu yang sangat indah Note:abaikan muka gw yang kaya babu @ Pantai Legon Prima Anyer
happy,"Selamat ulang tahun himasifo, aku mendoakan yg terbaik untuk mu dalam segala hal semoga bisa memberi manfaat bagi jurusan, almamater dan bangsa. Terimakasih mas hilman yg dulu mengajak ku untuk ikut dan menjadi bagian dari team mu."
anger,"Ndak usah jauh jauh mikir besok pemimpinmu siapa, mikir nanti sahur makan apa aja dulu. Kalo masih berharap dapet takjil saur on the road, fix nggak usah sok koar koar deh gonta ganti pemimpin xixixi"
happy,Kain batik asli Indonesia Pahat kayu buat bikin bangku Makin asik dan hati bahagia Liat yg ayu @8rianna_ penguasa hatiku [USERNAME] [USERNAME] #IniSahurTIKETCOMHariKe20
happy,Happy birthday to us [USERNAME] and happy 6th anniv wkwkwk Bentar lagi kita putus huhu aku harus cari pacar baru :3 [URL]
fear,"[USERNAME] Anjay, serem baca replyannya. Dulu gue daftarnya Tekkim karena suka kimia tapi gk lolos. Untung nyasar ke Farmasi, fisikanya gak begitu banyak"
fear,kadang aku terasa sesuatu. takut. takut akan tidak memperoleh yang aku ingini. takut akan kehilangan yang aku ada. takut akan semuanya berubah sekelip mata.
fear,"Kok ngeri bacanya.. Ibuku juga bilang gitu sih, efeknya tuh ke mata. Jd mending gausah."
sadness,"Yah kalo mau ""ke jalan lebih baik"" apa gak bagusan di kasi aja alat musik itu ke kawan kawan yang berbeda ""servernya"", kalo gak mau temen temen yang sama ""servernya"" terjerumus ke hal yang kau maksud tidak baik itu. Jangan di hancurkan lah.."
happy,"Menikmati setiap denyut jantungku merasakan setiap hirup nafas ini,perlahan sadar setiap mata ini membuka dan kembali menutup. Rasakan, nikmati, renungkan,mulai Menutup mata, menghelai nafas panjang dan tersenyum, merasa tubuh ini seakan melayang lepas bersama seluruh nikmat-NYA"
fear,"Harap diperjelas Pak Ketua [USERNAME] agar masyarakat paham, mana atau apa kriteria gratifikasi lebaran yg dilarang itu & dimasyarakatkan kriteria itu...?"
fear,"Saat sendiri, hanya saya yang tau dan mungkin baru-baru ini saya rasakan yg sebenarnya saya alami disana Tertekan, ya saya tertekan disana Malu, takut, merasa bodoh"
anger,SOAL MAHAR ITU URUSAN PARTAI BAPAK JANGAN BAWA2 ISLAM PAK....ISLAM ITU AGAMA YG INDAH DAN CINTA DAMAI. PARTAI BAPAK CARI MAHAR ?
anger,"[USERNAME] [USERNAME] Mengakui Jaringan 4G nya LEMAH, ya tolong di perkuat dong, jangan sampai Harga Kuota yg 12 Giga, di Rp. 95.000,- tidak sebanding dengan Kualitas Sinyalnya, perkuat di daerah Sariwates, Kiaracondong, Kota Bandung cc: [USERNAME] [URL]"
sadness,Jangan membuat bumi ini menangis dengan keegoisan kita mengeksplorasi segala kekayaan alam yang dimiliki dengan serakah dan tidak bertanggung jawab. Selamat Hari Lingkungan Hidup Sedunia [USERNAME] [URL]
anger,Dear [USERNAME] apakah tdk ada sistem yg mendeteksi untuk memperbaharui perubahan harga ongkir? Udh taun 2018 nih nombok terus setiap kirim paket gara2 ongkir ga sesuai.
love,"Bulan purnama jika ada pasangan yang saling membenci dan atau saling mencintai pada saat bulan purnama bersinar dan mereka di bawahnya, maka mereka akan menjadi pasangan sejati yang akan menjadi pasangan paling tersohor sealam jagad raya"
love,"Haechan aku sayang kamu. Sayangku ke kamu gak kebagi, ini masalah pribadi tenang aja sayangku ke kamu lebih besar daripada sukaku ke dia yang udah kompre hari ini [URL]"
happy,Senyum2 sendiri baca #OldMoneyGakNgerasain karna emg gw ngalamain yg rata2 di twit haha kaya di suruh beli minyak tanah ke warung terus dirigenya ditendang2 pake dengkul kaki
